Document,Gemini,GPT,Summary_Vietnamese,Summary_English
[648]_323_2025_ND-CP_m_685741.doc,Nghị định quy định chi tiết việc thành lập,"Nghị định quy định việc thành lập, tổ chức, hoạt động, quản lý, giám sát, tài chính và trách nhiệm của các cơ quan, tổ chức tại Trung tâm tài chính quốc tế tại Việt Nam. Nội dung bao gồm cơ cấu tổ chức, quyền hạn và trách nhiệm của Cơ quan giám sát, cơ quan điều hành, các cơ quan, bộ, ngành liên quan; quy định về tài chính, quản lý tài sản, sử dụng nguồn thu, giải quyết tranh chấp, hợp tác quốc tế, phát triển hạ tầng, fintech, tài chính xanh, thị trường hàng hóa, quỹ đầu tư, dịch vụ hỗ trợ chuyên nghiệp và các dịch vụ ưu tiên khác; hướng dẫn triển khai và thi hành theo Nghị quyết số 222/2025/QH15. Văn bản yêu cầu các cơ quan, tổ chức và địa phương thực hiện đầy đủ, minh bạch, tuân thủ quy định pháp luật, đảm bảo hiệu quả và phát triển Trung tâm tài chính quốc tế.","Nghị định quy định chi tiết việc thành lập, tổ chức, hoạt động, quản lý, giám sát và tài chính của các cơ quan, tổ chức tại Trung tâm tài chính quốc tế tại Việt Nam, bao gồm quy định về tài chính, quản lý tài sản, sử dụng nguồn thu, giải quyết tranh chấp, hợp tác quốc tế và các dịch vụ chuyên nghiệp, đồng thời yêu cầu các cơ quan, tổ chức thực hiện đầy đủ và minh bạch theo Nghị quyết số 222/2025/QH15.","The Decree provides detailed regulations on the establishment, organization, operation, management, supervision, and finances of agencies and organizations at the International Financial Center in Vietnam, covering financial regulations, asset management, revenue use, dispute resolution, international cooperation, and professional services, and requires agencies and organizations to fully and transparently comply with Resolution No. 222/2025/QH15."
[649]_132_2025_ND-CP_m_660636.doc,Nghị định quy định về việc phân định nhiệm vụ,"Văn bản quy định chi tiết về kiểm tra nhà nước về đo lường, gồm: thành lập đoàn kiểm tra, đối tượng và nội dung kiểm tra, trình tự xử lý vi phạm (tạm dừng, khắc phục, tiếp tục hoạt động), biện pháp niêm phong, thông báo công khai vi phạm, và trách nhiệm các cơ quan, tổ chức, cá nhân liên quan. Văn bản cũng hướng dẫn lập biên bản kiểm tra, biên bản niêm phong, thông báo tạm dừng và tiếp tục hoạt động, cùng thông báo cho cơ quan thông tin đại chúng.","Văn bản quy định chi tiết về kiểm tra nhà nước về đo lường, bao gồm thành lập đoàn kiểm tra, đối tượng và nội dung kiểm tra, xử lý vi phạm, biện pháp niêm phong, thông báo công khai vi phạm, và trách nhiệm các cơ quan, tổ chức, cá nhân liên quan, cũng như hướng dẫn lập biên bản kiểm tra và các thông báo liên quan.","The document provides detailed regulations on state inspection of measurements, including the establishment of inspection teams, subjects and contents of inspections, handling violations, sealing measures, public notification of violations, and the responsibilities of relevant agencies, organizations, and individuals, as well as guidance on preparing inspection reports and related notifications."
[650]_147_2025_ND-CP_m_660610.doc,Nghị định quy định chi tiết việc phân định thẩm quyền của chính quyền địa phương cấp tỉnh và cấp xã trong lĩnh vực quản lý nhà nước của Bộ Y tế. Các nội dung chính bao gồm: quản lý bảo trợ xã hội,"Nghị định quy định phân định thẩm quyền quản lý nhà nước liên quan đến trẻ em, bao gồm chăm sóc thay thế, nuôi dưỡng, phục hồi và tái hòa nhập cộng đồng; thẩm quyền công nhận xã, phường phù hợp với trẻ em; phân định thẩm quyền trong lĩnh vực phòng bệnh, cung ứng và điều phối vắc xin; phân định thẩm quyền trong khám bệnh, chữa bệnh và xét tặng danh hiệu 'Thầy thuốc nhân dân', 'Thầy thuốc ưu tú'; quy định hiệu lực thi hành, điều khoản chuyển tiếp và thực hiện thủ tục liên quan.","Nghị định quy định phân định thẩm quyền quản lý nhà nước liên quan đến trẻ em, chăm sóc thay thế, nuôi dưỡng, phục hồi và tái hòa nhập cộng đồng, công nhận xã, phường phù hợp với trẻ em, phòng bệnh, cung ứng và điều phối vắc xin, khám bệnh, chữa bệnh, xét tặng danh hiệu 'Thầy thuốc nhân dân', 'Thầy thuốc ưu tú', và các quy định về hiệu lực thi hành, điều khoản chuyển tiếp và thủ tục liên quan.","The decree outlines the division of state management responsibilities related to children, including alternative care, nurturing, rehabilitation, and community reintegration; recognizing child-friendly communes; disease prevention, vaccine distribution and coordination; medical examinations and treatments; awarding titles such as ""People's Physician"" and ""Outstanding Physician""; and regulations on enforcement, transitional provisions, and related procedures."
[651]_318_2025_ND-CP_m_684385.doc,Nghị định quy định chi tiết về hồ sơ,"Nghị định số 318/2025/NĐ-CP của Chính phủ quy định về đăng ký, điều chỉnh thông tin đăng ký lao động và quản lý hệ thống thông tin thị trường lao động tại Việt Nam. Văn bản nêu rõ trách nhiệm của Bộ Nội vụ, Bộ Công an, các bộ, cơ quan ngang bộ, cơ quan thuộc Chính phủ, Ủy ban nhân dân cấp tỉnh trong thu thập, chia sẻ, lưu trữ, cập nhật, quản lý và khai thác thông tin lao động; hướng dẫn người lao động điền tờ khai điện tử, đăng ký, điều chỉnh thông tin lao động, tình trạng việc làm, bảo hiểm xã hội, thông tin người sử dụng lao động, và nhu cầu tìm việc; quy định hiệu lực thi hành và tiến độ thực hiện các thủ tục.","Nghị định số 318/2025/NĐ-CP của Chính phủ quy định về việc đăng ký, điều chỉnh thông tin lao động và quản lý hệ thống thông tin thị trường lao động, trách nhiệm của các bộ, cơ quan và địa phương trong việc thu thập, lưu trữ và cập nhật thông tin lao động, hướng dẫn người lao động thực hiện các thủ tục liên quan, và quy định hiệu lực thi hành.","Decree No. 318/2025/NĐ-CP issued by the Government regulates the registration and adjustment of labor information and the management of the labor market information system, the responsibilities of ministries, agencies, and local governments in collecting, storing, and updating labor data, guiding workers in performing related procedures, and stipulating the effective date of implementation."
[652]_95_2025_ND-CP_m_655157.doc,Nghị định quy định chi tiết về địa vị pháp lý,"Nghị định quy định tổ chức, quản lý, hoạt động, quyền hạn và trách nhiệm của Ngân hàng Phát triển Việt Nam; bao gồm cơ cấu tổ chức, nhiệm vụ của Hội đồng quản trị, Ban kiểm soát, Tổng giám đốc, Phó Tổng giám đốc, Kế toán trưởng và các đơn vị trực thuộc; hoạt động nghiệp vụ ngân hàng, quản lý vốn, tín dụng, huy động vốn, kế toán, báo cáo tài chính, kiểm toán, thông tin và bảo mật; mối quan hệ và giám sát của Thủ tướng Chính phủ, Bộ Tài chính, Bộ Nội vụ, Ngân hàng Nhà nước và các cơ quan liên quan; quy trình tổ chức thực hiện, hiệu lực thi hành và trách nhiệm của các cơ quan, tổ chức và cá nhân liên quan.","Nghị định quy định tổ chức, quản lý, hoạt động, quyền hạn và trách nhiệm của Ngân hàng Phát triển Việt Nam, bao gồm cơ cấu tổ chức, nhiệm vụ của các bộ phận trong ngân hàng, các hoạt động nghiệp vụ ngân hàng, quản lý tài chính, tín dụng và các mối quan hệ giám sát với các cơ quan liên quan, cùng với quy trình thực hiện và hiệu lực thi hành.","The Decree stipulates the organization, management, activities, powers, and responsibilities of the Vietnam Development Bank, including its organizational structure, duties of various departments, banking operations, financial management, credit, and relationships with oversight agencies, as well as implementation procedures and enforcement."
[653]_68_2026_ND-CP_m_685358.doc,Nghị định quy định chi tiết về chính sách thuế và quản lý thuế đối với hộ và cá nhân kinh doanh,"Nghị định quy định quản lý thuế đối với hộ kinh doanh, cá nhân kinh doanh, bao gồm kê khai, nộp thuế, trách nhiệm cung cấp thông tin, xử lý tiền thuế nộp thừa, trách nhiệm của cơ quan thuế, Ủy ban nhân dân các cấp, và cơ quan quản lý nền tảng thương mại điện tử. Nghị định hướng dẫn chuyển đổi từ phương pháp khoán sang kê khai, xác định giá trị hàng tồn kho, máy móc, thiết bị làm căn cứ tính thuế, đảm bảo minh bạch, thuận tiện, không xử phạt sai. Cơ quan, tổ chức và cá nhân liên quan phải tuân thủ quy định và thực hiện đầy đủ các thủ tục, hồ sơ theo thời hạn nêu trong nghị định.","Nghị định quy định chi tiết quản lý thuế đối với hộ kinh doanh, cá nhân kinh doanh, bao gồm các thủ tục kê khai, nộp thuế, xử lý thuế nộp thừa, trách nhiệm cung cấp thông tin và thực hiện các nghĩa vụ thuế, chuyển đổi phương pháp khoán sang kê khai, xác định giá trị hàng tồn kho, máy móc thiết bị làm căn cứ tính thuế, bảo đảm minh bạch và thuận tiện.","The decree provides detailed regulations on tax management for business households and individual entrepreneurs, including procedures for tax declaration, payment, handling overpaid taxes, information provision responsibilities, and tax obligations. It also guides the transition from lump-sum to declaration methods, determining inventory values, machinery, and equipment for tax calculations, ensuring transparency and convenience."
[654]_137_2025_ND-CP_m_660639.doc,Nghị định quy định chi tiết việc phân định thẩm quyền và quy trình hành chính giữa các cấp chính quyền địa phương (chủ yếu là cấp tỉnh và cấp xã) trong các lĩnh vực văn hóa,"Nghị định hướng dẫn chi tiết trình tự, thủ tục đăng ký, cấp phép, thông báo và quản lý hoạt động các điểm cung cấp dịch vụ trò chơi điện tử công cộng, tổ chức lễ hội cấp xã, thành lập, sáp nhập, hợp nhất, chia, tách, giải thể thư viện, và chiếu phim tại địa điểm công cộng. Văn bản quy định hồ sơ, thẩm quyền giải quyết, trách nhiệm của cơ quan nhà nước, cơ quan, tổ chức, cá nhân thực hiện; thời hạn hiệu lực và điều khoản chuyển tiếp; đồng thời yêu cầu các bên thực hiện đúng theo quy định pháp luật và chịu trách nhiệm trước pháp luật về tính chính xác, trung thực của thông tin đã khai báo hoặc thông báo.","Nghị định quy định chi tiết trình tự, thủ tục đăng ký, cấp phép, thông báo và quản lý hoạt động các điểm cung cấp dịch vụ trò chơi điện tử công cộng, tổ chức lễ hội cấp xã, thành lập, sáp nhập, hợp nhất, chia, tách, giải thể thư viện, và chiếu phim tại địa điểm công cộng. Đồng thời phân định thẩm quyền và trách nhiệm của các cơ quan, tổ chức, cá nhân, yêu cầu thực hiện đúng theo quy định pháp luật và chịu trách nhiệm trước pháp luật về tính chính xác, trung thực của thông tin đã khai báo hoặc thông báo.","The Decree provides detailed procedures for registering, licensing, notifying, and managing public video game services, organizing communal festivals, establishing, merging, splitting, or dissolving libraries, and screening films at public places. It also defines the authority and responsibilities of agencies, organizations, and individuals, requiring compliance with legal regulations and accountability for the accuracy and truthfulness of declared or notified information."
[655]_247_2025_QH15_m_684851.doc,Quốc hội ban hành Nghị quyết nhằm đánh giá tình hình thực hiện Luật Bảo vệ môi trường 2020 và đề ra lộ trình nâng cao hiệu quả chính sách đến năm 2030. Các nhiệm vụ trọng tâm bao gồm: rà soát sửa đổi Luật Bảo vệ môi trường và xây dựng Luật Biến đổi khí hậu; vận hành sàn giao dịch tín chỉ các-bon và cơ sở dữ liệu môi trường quốc gia; cải thiện chất lượng không khí tại Hà Nội,"Quốc hội thông qua Nghị quyết về nâng cao hiệu lực, hiệu quả thực hiện chính sách, pháp luật về bảo vệ môi trường tại Việt Nam, bao gồm: rà soát, cập nhật, điều chỉnh chiến lược, quy hoạch và kế hoạch môi trường; quản lý chất lượng môi trường không khí, nước và chất thải; xây dựng và vận hành cơ sở dữ liệu môi trường quốc gia; thiết lập thị trường các-bon và tín chỉ các-bon; phát triển nông nghiệp xanh, sinh thái, hữu cơ; ứng phó biến đổi khí hậu; nâng cao tuân thủ pháp luật, tuyên truyền, giáo dục, huy động toàn dân; phát triển tín dụng xanh, kinh tế tuần hoàn, năng lượng tái tạo; phân công, phối hợp các cơ quan trung ương, địa phương, doanh nghiệp trong triển khai nhiệm vụ; lập lộ trình sửa đổi, bổ sung các văn bản pháp luật liên quan.","Quốc hội thông qua Nghị quyết về nâng cao hiệu quả thực hiện chính sách bảo vệ môi trường tại Việt Nam, bao gồm rà soát, điều chỉnh chiến lược và kế hoạch môi trường, quản lý chất lượng môi trường, xây dựng cơ sở dữ liệu môi trường quốc gia, phát triển thị trường các-bon, ứng phó biến đổi khí hậu và nâng cao tuân thủ pháp luật.","The National Assembly passed a resolution to improve the implementation of environmental protection policies in Vietnam, including reviewing and adjusting environmental strategies and plans, managing environmental quality, building a national environmental database, developing carbon markets, responding to climate change, and enhancing legal compliance."
[656]_45_2025_ND-CP_m_644996.doc,Nghị định quy định chi tiết về tổ chức bộ máy,"Nghị định quy định tổ chức, chức năng, nhiệm vụ, quyền hạn và cơ cấu các cơ quan chuyên môn thuộc Ủy ban nhân dân cấp tỉnh và cấp huyện, bao gồm các phòng chuyên môn chung và đặc thù; trách nhiệm của Bộ trưởng, Thủ trưởng cơ quan ngang bộ, Chủ tịch Ủy ban nhân dân cấp tỉnh, cấp huyện trong việc sắp xếp, phân cấp, bổ nhiệm, kiểm tra, thanh tra và giải quyết khiếu nại, tố cáo; hướng dẫn cơ cấu tổ chức, số lượng lãnh đạo, và các điều khoản chuyển tiếp. Nghị định thay thế các Nghị định 24/2014/NĐ-CP, 37/2014/NĐ-CP và các văn bản sửa đổi, bổ sung liên quan, có hiệu lực từ ngày 01/3/2025.","Nghị định quy định tổ chức, chức năng, nhiệm vụ, quyền hạn và cơ cấu các cơ quan chuyên môn thuộc Ủy ban nhân dân cấp tỉnh và cấp huyện, bao gồm phòng chuyên môn chung và đặc thù, cùng với trách nhiệm của các cơ quan, cá nhân liên quan trong việc quản lý và tổ chức. Nghị định thay thế các nghị định trước đó và có hiệu lực từ ngày 01/3/2025.","The Decree regulates the organization, functions, tasks, powers, and structure of specialized agencies under the People's Committees of provinces and districts, including general and specific professional departments, as well as the responsibilities of relevant agencies and individuals in management and organization. The decree replaces previous decrees and takes effect from March 1, 2025."
[657]_84_VBHN-VPQH_m_672009.doc,Luật quy định toàn diện về vị trí,"Luật quy định toàn diện về chế độ, chính sách, quyền lợi và nghĩa vụ của quân nhân chuyên nghiệp, công nhân và viên chức quốc phòng trong Quân đội nhân dân Việt Nam. Nội dung bao gồm điều kiện nghỉ hưu, thôi việc, chuyển ngành, chế độ đào tạo, tiền lương, phụ cấp, nhà ở, chăm sóc sức khỏe, khen thưởng, xử lý vi phạm, trách nhiệm của cơ quan quản lý nhà nước, Bộ Quốc phòng, các bộ, cơ quan ngang bộ và chính quyền địa phương, cũng như chế độ đối với thương binh, hy sinh và quân nhân dự bị. Luật xác định trình tự, thủ tục và thẩm quyền xử lý kỷ luật, quyền lợi bảo hiểm xã hội và các trợ cấp, đảm bảo ổn định đời sống và phát triển nghề nghiệp cho các đối tượng này. Chính phủ và các cơ quan có thẩm quyền được giao quy định chi tiết các điều khoản thực hiện.","Luật quy định toàn diện về chế độ, chính sách, quyền lợi và nghĩa vụ của quân nhân chuyên nghiệp, công nhân và viên chức quốc phòng trong Quân đội nhân dân Việt Nam, bao gồm điều kiện nghỉ hưu, thôi việc, chuyển ngành, đào tạo, tiền lương, phụ cấp, nhà ở, chăm sóc sức khỏe, khen thưởng, xử lý vi phạm, và trách nhiệm của cơ quan quản lý nhà nước, Bộ Quốc phòng, các bộ, cơ quan ngang bộ và chính quyền địa phương. Chính phủ và các cơ quan có thẩm quyền được giao quy định chi tiết các điều khoản thực hiện.","The law comprehensively regulates the regime, policies, benefits, and duties of professional military personnel, workers, and public servants in the Vietnam People's Army, including conditions for retirement, resignation, transfer, training, salary, allowances, housing, healthcare, rewards, disciplinary actions, and the responsibilities of government management agencies, the Ministry of Defense, ministries, ministerial-level agencies, and local authorities. The Government and competent agencies are authorized to issue detailed implementation regulations."
[658]_197_2025_QH15_m_657149.doc,Nghị quyết số 197/2025/QH15 quy định các cơ chế,"Nghị quyết số 197/2025/QH15 quy định các cơ chế, chính sách phát triển nguồn nhân lực, tổ chức, hoạt động hỗ trợ xây dựng pháp luật và ứng dụng công nghệ số, chuyển đổi số trong công tác xây dựng và tổ chức thi hành pháp luật. Nghị quyết xác định cơ quan, đơn vị được hưởng hỗ trợ hằng tháng, chế độ ưu đãi, thu hút, đào tạo, bồi dưỡng cán bộ, công chức, sĩ quan lực lượng vũ trang, nghiên cứu viên; đồng thời quy định giám sát, quản lý Quỹ hỗ trợ và cơ sở hạ tầng công nghệ thông tin phục vụ pháp luật. Nghị quyết có hiệu lực từ ngày 01/7/2025 và áp dụng nguyên tắc ưu tiên cơ chế, chính sách cao hơn nếu trùng quy định với văn bản khác.","Nghị quyết số 197/2025/QH15 quy định các cơ chế, chính sách phát triển nguồn nhân lực, tổ chức, hoạt động hỗ trợ xây dựng pháp luật và ứng dụng công nghệ số, chuyển đổi số trong công tác xây dựng và tổ chức thi hành pháp luật, xác định cơ quan, đơn vị được hỗ trợ, chế độ ưu đãi, thu hút, đào tạo cán bộ, công chức, sĩ quan, nghiên cứu viên, và quy định giám sát, quản lý Quỹ hỗ trợ cùng cơ sở hạ tầng công nghệ thông tin phục vụ pháp luật, có hiệu lực từ ngày 01/7/2025, ưu tiên cơ chế, chính sách cao hơn nếu trùng với văn bản khác.","Resolution No. 197/2025/QH15 provides mechanisms and policies for the development of human resources, organizations, activities supporting law-making, and the application of digital technology and digital transformation in law-making and enforcement. It defines the agencies and units eligible for support, benefits, recruitment, training, and development of officials, public servants, military officers, and researchers, while also regulating the oversight and management of the Support Fund and IT infrastructure for legal activities. The resolution takes effect from July 1, 2025, prioritizing higher mechanisms and policies if they conflict with other documents."
[659]_333_2025_ND-CP_m_686972.doc,Nghị định quy định chi tiết việc thực hiện các biện pháp xử lý chuyển hướng tại cộng đồng (học tập,"Nghị định quy định chi tiết về việc áp dụng biện pháp xử lý chuyển hướng tại cộng đồng, giám sát điện tử và công tác tái hòa nhập cộng đồng đối với người chưa thành niên phạm tội. Nội dung bao gồm trình tự, thủ tục, trách nhiệm của cơ quan nhà nước, gia đình, tổ chức, cá nhân liên quan trong việc thi hành biện pháp xử lý chuyển hướng, giám sát điện tử và hỗ trợ tái hòa nhập cộng đồng, lập hồ sơ, xử lý vi phạm, và kết thúc hỗ trợ. Nghị định cũng quy định thời hạn hiệu lực thi hành và hướng dẫn thực hiện cụ thể cho các cơ quan, tổ chức, cá nhân có liên quan.","Nghị định quy định chi tiết về biện pháp xử lý chuyển hướng tại cộng đồng, giám sát điện tử và tái hòa nhập cộng đồng đối với người chưa thành niên phạm tội, bao gồm thủ tục, trách nhiệm của cơ quan nhà nước, gia đình, tổ chức, cá nhân liên quan, và thời hạn hiệu lực thi hành.","The Decree provides detailed regulations on community-based corrective measures, electronic monitoring, and reintegration for juvenile offenders, including procedures, responsibilities of government agencies, families, organizations, and individuals involved, as well as the effective implementation period."
[660]_100_VBHN-VPQH_m_672479.doc,Luật này quy định về phạm vi,"Văn bản quy định chi tiết về bảo vệ bí mật nhà nước tại Việt Nam, bao gồm nguyên tắc, trách nhiệm, thủ tục xác định, gia hạn, điều chỉnh, giải mật, tiêu hủy bí mật nhà nước, tổ chức hội nghị, hội thảo có nội dung bí mật, cũng như trách nhiệm của cơ quan, tổ chức, người đứng đầu và cá nhân trực tiếp quản lý bí mật nhà nước. Văn bản hướng dẫn thực hiện bảo vệ bí mật nhà nước trong hợp tác quốc tế, quản lý tài liệu, vật chứa bí mật, đồng thời quy định hiệu lực thi hành và điều khoản chuyển tiếp liên quan đến thời hạn bảo vệ.","Văn bản quy định chi tiết về bảo vệ bí mật nhà nước tại Việt Nam, bao gồm nguyên tắc, trách nhiệm, thủ tục xác định, gia hạn, điều chỉnh, giải mật, tiêu hủy bí mật, tổ chức hội nghị, hội thảo có nội dung bí mật, cùng trách nhiệm của cơ quan, tổ chức, người đứng đầu và cá nhân quản lý bí mật nhà nước, cũng như bảo vệ bí mật trong hợp tác quốc tế và quản lý tài liệu, vật chứa bí mật. Văn bản cũng quy định hiệu lực thi hành và các điều khoản chuyển tiếp.","The document provides detailed regulations on the protection of state secrets in Vietnam, including principles, responsibilities, procedures for determining, extending, adjusting, declassifying, and destroying state secrets, organizing conferences and workshops with confidential content, and the responsibilities of agencies, organizations, leaders, and individuals directly managing state secrets. It also covers the protection of secrets in international cooperation and the management of documents and materials containing secrets, along with provisions on effective enforcement and transitional clauses."
[661]_161_VBHN-VPQH_m_672562.doc,Văn bản hợp nhất các Nghị quyết của Ủy ban Thường vụ Quốc hội quy định chi tiết về công tác thi đua,"Văn bản là Nghị quyết của Ủy ban Thường vụ Quốc hội sửa đổi, bổ sung các điều của Nghị quyết số 44/2024/UBTVQH15 về thi đua, khen thưởng đối với đại biểu Quốc hội, các cơ quan của Quốc hội, các cơ quan thuộc Ủy ban Thường vụ Quốc hội và cán bộ, công chức thuộc thẩm quyền quản lý. Văn bản quy định về Hội đồng Thi đua - Khen thưởng, Hội đồng sáng kiến, các danh hiệu thi đua, hình thức khen thưởng, mẫu bằng khen, huy hiệu, hiệu lực thi hành và thẩm quyền thực hiện. Các sửa đổi, bổ sung bao gồm việc thay đổi tên gọi cơ quan, chức danh và các khoản liên quan đến quy trình, thẩm quyền xét tặng. Nghị quyết có hiệu lực từ ngày 06/06/2025 và yêu cầu các cơ quan, đại biểu, cán bộ, công chức liên quan thực hiện đầy đủ.","Nghị quyết của Ủy ban Thường vụ Quốc hội sửa đổi, bổ sung Nghị quyết số 44/2024/UBTVQH15 về thi đua, khen thưởng đối với đại biểu Quốc hội, các cơ quan của Quốc hội, các cơ quan thuộc Ủy ban Thường vụ Quốc hội và cán bộ, công chức thuộc thẩm quyền quản lý, bao gồm các quy định về Hội đồng Thi đua - Khen thưởng, các danh hiệu thi đua, hình thức khen thưởng, hiệu lực thi hành, thẩm quyền thực hiện, và các sửa đổi liên quan đến tên gọi cơ quan, chức danh, quy trình xét tặng. Nghị quyết có hiệu lực từ ngày 06/06/2025.","The Resolution by the Standing Committee of the National Assembly amends and supplements Resolution No. 44/2024/UBTVQH15 on emulation and commendation for National Assembly deputies, National Assembly agencies, agencies under the Standing Committee of the National Assembly, and civil servants within their jurisdiction. It includes regulations on the Emulation-Commendation Council, emulation titles, reward forms, effective date, implementation authority, and changes related to agency names, positions, and the process of awarding. The resolution takes effect on June 6, 2025."
[662]_06_2026_ND-CP_m_688936.doc,Nghị định này quy định chi tiết về tổ chức và hoạt động của Ngân hàng Chính sách xã hội (NHCSXH). Nội dung bao gồm: địa vị pháp lý,"Nghị định quy định tổ chức, chức năng, nhiệm vụ, nguồn vốn, hoạt động cho vay, dịch vụ ngân hàng, kiểm soát nội bộ, bảo mật thông tin, trách nhiệm của các cơ quan liên quan và tổ chức thực hiện của Ngân hàng Chính sách xã hội. Nghị định cũng hướng dẫn chuyển tiếp các quy định trước đây và xác định hiệu lực thi hành, đảm bảo quản lý, giám sát và phối hợp giữa các bộ, ngành, địa phương, tổ chức chính trị - xã hội và Ngân hàng Chính sách xã hội.","Nghị định quy định tổ chức, chức năng, nhiệm vụ, nguồn vốn, hoạt động cho vay, dịch vụ ngân hàng, kiểm soát nội bộ, bảo mật thông tin, trách nhiệm của các cơ quan liên quan và tổ chức thực hiện của Ngân hàng Chính sách xã hội, đồng thời hướng dẫn chuyển tiếp các quy định trước đây và xác định hiệu lực thi hành, đảm bảo quản lý, giám sát và phối hợp giữa các bộ, ngành, địa phương, tổ chức chính trị - xã hội và Ngân hàng Chính sách xã hội.","The decree regulates the organization, functions, tasks, funding sources, lending activities, banking services, internal control, information security, responsibilities of related agencies, and the implementation organization of the Vietnam Bank for Social Policies, while also guiding the transition of previous regulations, specifying the effective date, and ensuring management, supervision, and coordination between ministries, sectors, localities, political-social organizations, and the Bank for Social Policies."
[663]_1_VBHN-BNV_m_681000.doc,Văn bản hợp nhất các quy định về xử lý kỷ luật cán bộ,"Nghị định quy định chi tiết về xử lý kỷ luật cán bộ, công chức, bao gồm việc tổ chức họp kiểm điểm, thành lập Hội đồng kỷ luật, trình tự, thủ tục ra quyết định kỷ luật, chế độ chính sách đối với công chức bị tạm giữ, tạm giam, đang trong quá trình điều tra hoặc đã thôi việc, nghỉ hưu; quyền khiếu nại quyết định kỷ luật; điều khoản chuyển tiếp, hiệu lực thi hành và trách nhiệm thực hiện.","Nghị định quy định chi tiết về xử lý kỷ luật cán bộ, công chức, bao gồm các quy trình tổ chức họp kiểm điểm, thành lập Hội đồng kỷ luật, quyết định kỷ luật, chế độ đối với công chức bị tạm giữ, tạm giam, trong quá trình điều tra hoặc đã nghỉ hưu, quyền khiếu nại, cùng với hiệu lực thi hành và trách nhiệm thực hiện.","The Decree provides detailed regulations on disciplining civil servants, including processes for holding review meetings, establishing disciplinary councils, making disciplinary decisions, policies for civil servants under detention, investigation, or retired, the right to appeal disciplinary decisions, along with enforcement and implementation responsibilities."
[664]_80_2025_ND-CP_m_650928.doc,Nghị định quy định chi tiết về tổ chức thi hành pháp luật và quản lý nhà nước về thi hành pháp luật tại Việt Nam. Nội dung bao gồm quy trình lập kế hoạch triển khai,"Nghị định quy định về tổ chức thi hành pháp luật và quản lý nhà nước về tổ chức thi hành pháp luật tại Việt Nam. Văn bản hướng dẫn công tác kiểm tra, giám sát, báo cáo và xử lý các kiến nghị liên quan đến việc thi hành văn bản quy phạm pháp luật; quy định trách nhiệm của Chính phủ, Bộ Tư pháp, các bộ, cơ quan ngang bộ, cơ quan thuộc Chính phủ và Ủy ban nhân dân các cấp trong việc tổ chức thi hành pháp luật, đảm bảo nhân lực, kinh phí, cơ sở vật chất và thực hiện báo cáo định kỳ về kết quả thi hành pháp luật.","Nghị định quy định chi tiết về tổ chức thi hành pháp luật và quản lý nhà nước về thi hành pháp luật tại Việt Nam, bao gồm công tác kiểm tra, giám sát, báo cáo và xử lý kiến nghị liên quan đến việc thi hành văn bản quy phạm pháp luật, cũng như trách nhiệm của Chính phủ, Bộ Tư pháp, các bộ, cơ quan ngang bộ, cơ quan thuộc Chính phủ và Ủy ban nhân dân các cấp trong việc đảm bảo nhân lực, kinh phí, cơ sở vật chất và thực hiện báo cáo định kỳ về kết quả thi hành pháp luật.","The Decree provides detailed regulations on the organization of law enforcement and state management of law enforcement in Vietnam, including monitoring, supervision, reporting, and handling recommendations related to the enforcement of legal documents. It also outlines the responsibilities of the Government, Ministry of Justice, ministries, ministerial-level agencies, government agencies, and People's Committees at all levels in ensuring human resources, funding, facilities, and periodic reporting on the results of law enforcement."
[665]_7_NQ-CP_m_689351.doc,Nghị quyết giao chỉ tiêu hoàn thành ít nhất 01 triệu căn hộ nhà ở xã hội giai đoạn 2026-2030 cho các địa phương,"Nghị quyết số 07/NQ-CP ngày 12/01/2026 của Chính phủ về giao chỉ tiêu phát triển nhà ở xã hội giai đoạn 2026-2030, xác định phát triển nhà ở xã hội là nhiệm vụ chính trị quan trọng, huy động nguồn lực xã hội, ưu tiên các địa phương có nhu cầu cao. Nội dung chính bao gồm: giao chỉ tiêu căn hộ cho từng địa phương hàng năm, chỉ đạo Bộ Xây dựng và UBND các cấp theo dõi, hướng dẫn, đôn đốc thực hiện, cải cách thủ tục hành chính, khuyến khích nhà đầu tư có quỹ đất sạch, giám sát cộng đồng để bảo đảm dự án đúng tiến độ, quy hoạch và chất lượng. Mục tiêu đến năm 2030 hoàn thành ít nhất 1 triệu căn nhà ở xã hội cho đối tượng thu nhập thấp và công nhân khu công nghiệp.","Nghị quyết số 07/NQ-CP ngày 12/01/2026 của Chính phủ giao chỉ tiêu phát triển nhà ở xã hội giai đoạn 2026-2030, với mục tiêu hoàn thành ít nhất 1 triệu căn hộ cho đối tượng thu nhập thấp và công nhân khu công nghiệp, đồng thời yêu cầu các địa phương triển khai, giám sát và khuyến khích nhà đầu tư có quỹ đất sạch.","Resolution No. 07/NQ-CP dated January 12, 2026, issued by the Government assigns targets for social housing development from 2026 to 2030, with the goal of completing at least 1 million units for low-income individuals and industrial workers. It also requires local authorities to implement, monitor, and encourage investors with clean land plots."
